1018,55,S
1020,54,M
1021,55,M
1022,55,M
1023,51,r
1026,54,S
1027,61,r
1027,54,S
1030,58,M
1031,54,M
1032,60,r
1035,59,S
1036,57,r
1036,55,S
1038,54,M
1039,53,S
1040,57,S
1043,55,M
1044,54,M
1045,48,r
1048,54,S
1049,46,r
1049,55,S
1052,57,M
1053,49,M
1054,57,r
1057,58,S
1058,51,r
1058,52,S
1060,56,M
1061,52,M
1062,50,M
1065,56,S
1066,54,S
1069,49,S
1070,57,S
1071,54,r
1071,57,S
1073,58,S
1073,51,M
1074,51,S
1075,60,r
1075,51,S
1078,55,S
1079,54,S
1082,53,S
1083,50,S
1087,60,S
1088,62,r
1088,53,S
1091,51,S
1092,49,S
1094,56,M
1095,59,M
1096,55,M
1097,54,r
1099,56,S
1100,60,S
1101,56,r
1101,51,S
1103,58,M
1104,55,M
1105,52,M
1106,54,r
1109,58,S
1110,51,r
1110,48,S
1113,52,M
1114,53,M
1115,55,r
1118,61,S
1119,59,r
1119,52,S
1121,56,M
1122,57,M
1123,53,M
1126,54,S
1127,54,S
1130,61,S
1131,59,S
1134,51,M
1135,55,M
1136,57,r
1140,48,M
1141,63,r
1144,54,S
1146,57,M
1147,58,M
1148,51,r
1150,62,S
1151,55,M
1152,58,M
1153,50,r
1155,52,S
1157,63,M
1158,51,M
1159,57,r
1161,57,S
1162,54,S
1163,56,r
1163,53,S
1165,55,M
1166,64,S
1167,62,S
1170,52,S
1171,56,S
1172,54,r
1172,54,S
1174,52,M
1175,60,M
1176,58,M
1179,65,S
1180,62,S
1183,54,M
1184,54,M
1185,52,r
1188,63,S
1189,58,r
1189,59,S
1191,55,M
1192,62,S
1193,49,S
1196,52,M
1197,49,M
1198,64,r
1201,58,S
1203,56,r
1206,63,S
1207,57,r
1207,54,S
1210,53,S
1211,57,S
1214,56,S
1215,55,S
1217,54,M
1218,52,M
1219,53,M
1220,54,r
1223,53,S
1224,53,r
1224,52,S
1227,56,S
1228,54,S
1229,58,r
1231,59,M
1232,55,M
1236,52,S
1237,54,S
1239,59,M
1240,51,M
1241,52,M
1242,56,r
1244,53,S
1245,54,S
1246,52,r
1246,54,S
1248,55,M
1249,50,M
1250,54,r
1253,53,S
1254,53,r
1254,50,S
1256,53,M
1257,59,S
1258,54,r
1258,54,S
1260,54,M
1261,56,S
1262,58,S
1265,57,M
1266,56,M
1267,58,r
1270,52,S
1271,54,r
1271,49,S
1273,52,M
1274,56,S
1275,55,S
1276,56,r
1276,49,S
1278,60,M
1279,56,M
1280,53,r
1283,53,S
1284,52,r
1284,57,S
1286,54,M
1287,59,M
1288,54,M
1291,57,S
1292,53,S
1293,56,r
1293,48,S
1295,52,M
1296,52,S
1297,57,S
1300,54,M
1301,55,M
1302,52,r
1305,54,S
1306,55,r
1306,50,S
1309,57,M
1310,58,M
1311,55,r
1314,54,S
1315,48,r
1315,56,S
1318,60,M
1319,54,M
1320,53,r
1323,56,S
1324,56,S
1326,52,M
1327,54,S
1328,51,S
1331,51,M
1332,59,M
1333,49,r
1336,50,S
1337,56,r
1337,61,S
1339,56,M
1340,52,M
1341,55,M
1342,64,r
1345,53,S
1346,56,r
1346,49,S
1348,49,M
1349,53,S
1350,52,S
1351,59,r
1354,53,S
1355,56,r
1355,44,S
1358,57,S
1359,56,r
1359,53,S
1362,59,S
1363,52,S
1366,50,M
1367,54,M
1368,56,r
1371,63,S
1372,52,S
1375,49,S
1376,52,S
1377,58,r
1377,55,S
1380,56,S
1381,57,r
1381,54,S
1383,54,M
1384,53,M
1385,54,M
1386,55,r
1388,53,S
1389,61,S
1390,54,r
1390,52,S
1392,49,M
1393,55,M
1394,54,M
1397,53,S
1398,54,S
1399,52,r
1399,55,S
1402,53,S
1403,54,S
1406,54,M
1407,59,M
1408,52,r
1411,57,S
1412,55,r
1412,54,S
1414,53,M
1415,54,M
1419,58,S
1420,57,S
1423,52,M
1424,50,M
1425,54,r
1428,54,S
1429,52,S
1432,53,S
1433,49,S
1434,52,r
1434,53,S
1436,53,M
1437,52,S
1438,57,r
1438,54,S
1441,52,S
1442,49,r
1442,52,S
1445,57,M
1446,52,M
1447,53,r
1450,56,S
1451,51,r
1451,52,S
1453,54,M
1454,51,M
1455,49,M
1456,54,r
1459,56,S
1460,52,r
1460,57,S
1463,55,M
1464,54,M
1465,54,r
1468,60,S
1469,49,r
1469,58,S
1471,51,M
1472,54,M
1473,55,M
1476,59,S
1477,64,S
1480,56,M
1481,61,M
1482,58,r
1485,58,S
1486,54,S
1489,59,S
1490,54,S
1491,52,r
1493,52,M
1494,53,M
1495,57,r
1498,59,S
1499,52,r
1499,55,S
1502,54,S
1503,56,r
1503,55,S
1506,57,M
1507,54,M
1508,54,r
1511,55,S
1512,56,r
1512,47,S
1515,56,S
1516,60,S
1519,52,M
1520,53,M
1521,55,r
1524,52,S
1525,53,r
1525,52,S
1528,59,S
1529,54,r
1529,57,S
1532,56,M
1533,63,M
1534,52,r
1537,57,S
1538,50,r
1538,49,S
1541,52,M
1542,54,M
1543,56,r
1546,47,S
1547,53,r
1547,48,S
1549,52,M
1550,54,S
1551,56,S
1554,55,S
1555,57,S
1558,55,S
1558,52,M
1559,56,S
1560,53,r
1560,52,S
1562,55,M
1563,60,M
1564,57,M
1565,57,r
1568,56,S
1569,52,S
1572,60,S
1572,55,M
1573,50,S
1574,53,r
1574,50,S
1577,52,S
1578,55,S
1579,53,r
1581,54,M
1582,52,M
1583,50,r
1586,52,S
1587,53,S
1590,51,M
1591,54,M
1592,55,r
1595,50,S
1596,56,r
1596,53,S
1598,47,M
1599,55,M
1600,52,M
1603,53,S
1604,52,S
1605,54,r
1605,61,S
1607,54,M
1608,52,M
1609,56,M
1613,54,S
1614,59,r
1614,61,S
1616,51,M
1617,53,M
1618,53,M
1621,54,S
1622,53,S
1623,51,r
1623,60,S
1625,54,M
1626,55,M
1627,52,r
1630,54,S
1631,62,S
1634,54,M
1635,55,M
1636,53,r
1639,52,S
1640,52,S
1643,56,S
1644,55,S
1645,57,r
1645,54,S
1647,57,M
1648,61,S
1649,57,r
1649,54,S
1651,51,M
1652,54,M
1653,54,M
1654,54,r
1657,52,S
1658,57,r
1658,56,S
1661,57,M
1662,58,M
1663,54,r
1666,53,S
1667,54,r
1667,54,S
1669,57,M
1670,52,S
1671,65,S
1674,52,S
1675,52,S
1678,54,M
1679,57,S
1680,51,r
1680,58,S
1682,57,M
1683,59,S
1684,55,S
1687,57,M
1688,51,M
1689,52,r
1692,50,S
1693,51,S
1696,54,S
1697,53,S
1700,58,M
1701,59,M
1702,51,r
1704,55,S
1705,55,S
1707,51,S
1709,57,M
1710,54,M
1711,57,M
1712,52,r
1714,50,S
1716,54,M
1717,53,M
1720,56,S
1721,55,r
1721,52,S
1724,62,M
1725,55,M
1726,54,r
1729,53,S
1730,58,r
1730,55,S
1733,52,M
1734,57,M
1735,57,r
1738,57,S
1739,52,r
1739,53,S
1741,57,M
1742,54,S
1743,52,S
1746,50,S
1747,48,S
1750,54,M
1751,57,M
1752,55,r
1755,54,S
1756,53,S
1759,53,S
1760,50,S
1761,56,r
1761,53,S
1763,56,M
1764,51,M
1765,53,M
1768,62,S
1769,50,S
1772,56,M
1773,59,M
1774,57,r
1777,51,S
1778,52,r
1778,48,S
1780,51,M
1781,54,S
1782,55,r
1782,62,S
1785,52,M
1786,52,M
1787,61,r
1790,56,S
1791,59,S
1794,60,M
1795,57,M
1796,59,r
1799,54,S
1800,52,r
1800,55,S
1802,53,M
1803,60,M
1804,64,r
1807,55,S
1808,59,S
1811,61,S
1811,55,M
1812,54,S
1813,51,r
1813,56,S
1816,47,M
1817,55,M
1818,54,r
1821,53,S
1822,56,r
1822,57,S
1824,51,M
1825,52,S
1826,66,S
1829,48,S
1829,57,M
1830,54,S
1831,54,r
1831,57,S
1834,53,S
1835,51,S
1836,57,r
1838,54,M
1839,54,S
1840,54,r
1840,61,S
1843,56,S
1844,49,S
1847,56,M
1848,49,M
1849,60,r
1851,61,S
1852,53,S
1853,62,r
1853,55,S
1855,61,M
1856,54,M
1857,54,r
1860,54,S
1861,52,r
1861,55,S
1864,55,M
1865,56,M
1866,57,r
1869,49,S
1870,53,r
1870,58,S
1873,56,S
1874,54,S
1877,54,M
1878,52,M
1879,57,r
1882,57,S
1883,52,S
1886,56,S
1887,55,S
1890,54,S
1890,53,M
1891,55,S
1892,51,r
1892,54,S
1894,57,M
1895,53,M
1896,51,M
1897,54,r
1900,51,S
1901,54,r
1901,59,S
1903,52,M
1904,54,M
1905,54,M
1906,55,r
1908,51,S
1909,52,S
1910,55,r
1910,54,S
1912,56,S
1912,53,M
1913,61,S
1914,52,r
1914,53,S
1916,52,M
1917,58,M
1918,52,M
1921,57,S
1922,51,S
1923,52,r
1923,61,S
1925,56,M
1926,53,S
1927,52,S
1930,55,M
1931,55,M
1932,56,r
1935,54,S
1936,56,r
1936,55,S
1938,59,M
1939,56,S
1940,52,r
1940,53,S
1942,55,M
1943,57,M
1944,56,M
1945,54,r
1948,55,S
1949,51,r
1949,54,S
1951,58,M
1952,52,S
1953,54,r
1953,53,S
1955,59,M
1956,57,M
1957,56,M
1960,52,S
1961,49,S
1962,57,r
1962,56,S
1964,55,M
1965,61,M
1966,56,M
1967,52,r
1970,54,S
1971,57,r
1971,50,S
1973,57,M
1974,54,S
1975,53,S
1978,58,S
1978,51,M
1979,55,S
1980,54,r
1980,56,S
1983,65,S
1984,50,S
1987,57,M
1988,52,M
1989,59,r
1992,47,S
1993,51,r
1993,60,S
1995,54,M
1996,57,M
1997,62,M
2000,51,S
2001,52,S
2004,51,S
2004,54,M
2005,54,S
2006,53,r
2006,54,S
2009,51,S
2010,57,r
2010,52,S
2013,55,S
2014,49,S
2017,53,M
2018,52,M
2019,61,r
2022,56,S
2023,55,r
2023,48,S
2026,56,S
2027,53,S
2030,54,S
2031,57,S
2032,63,r
2032,52,S
2035,58,S
2036,54,r
2036,55,S
2039,52,S
2040,60,S
2044,57,S
2045,54,r
2045,57,S
2048,49,S
2049,51,r
2049,64,S
2052,56,S
2053,54,S
2057,53,S
2058,50,r
2058,51,S
2060,55,M
2061,53,M
2062,52,M
2066,53,S
2067,63,r
2067,58,S
2069,52,M
2070,56,M
2074,56,S
2075,56,S
2078,56,S
2079,55,S
2080,53,r
2080,56,S
2083,56,S
2084,57,r
2084,50,S
2087,53,S
2088,51,S
2091,50,M
2092,50,M
2093,53,r
2096,59,S
2097,56,r
2097,59,S
2100,53,S
2101,58,r
2101,49,S
2104,53,S
2105,56,r
2105,49,S
2108,54,M
2109,51,M
2110,57,r
2113,57,S
2114,50,r
2114,55,S
2117,62,S
2118,55,S
2119,56,r
2119,57,S
2121,61,M
2122,56,M
2123,48,M
2126,56,S
2127,49,S
2131,57,S
2132,60,r
2132,51,S
2135,59,S
2136,54,S
2139,57,M
2140,54,M
2141,53,r
2144,53,S
2145,54,S
2148,57,S
2149,52,S
2151,56,M
2152,50,M
2153,57,M
2154,53,r
2157,52,S
2158,56,r
2158,57,S
2161,58,S
2162,53,S
2165,51,M
2166,54,S
2167,49,r
2167,54,S
2170,50,S
2171,55,S
2174,54,S
2175,56,S
2178,52,S
2179,57,S
2182,54,M
2183,52,M
2184,56,r
2187,56,S
2188,57,S
2191,58,S
2192,54,S
2193,54,r
2193,57,S
2195,50,M
2196,54,M
2197,52,M
2200,51,S
2201,65,S
2202,59,r
2202,54,S
2204,63,M
2205,53,M
2206,56,r
2209,55,S
2210,59,r
2210,49,S
2212,58,M
2213,53,M
2214,60,M
2215,59,r
2218,56,S
2219,56,r
2219,53,S
2222,55,M
2223,53,M
2224,51,r
2227,61,S
2228,54,S
2230,54,M
2231,52,M
2232,54,M
2233,53,r
2236,53,S
2237,51,r
2237,54,S
2239,54,M
2240,52,M
2241,54,M
2242,61,r
2245,55,S
2246,57,r
2246,54,S
2248,50,M
2249,53,M
2253,56,S
2254,57,S
2257,53,M
2258,52,M
2259,52,r
2262,52,S
2263,54,r
2263,55,S
2265,55,S
2266,51,S
2268,54,M
2269,56,S
2272,56,S
2275,52,S
2277,53,S
2278,53,r
2278,66,S
2280,63,M
2281,52,M
2282,63,r
2285,51,S
2286,62,r
2286,57,S
2289,57,S
2290,63,S
2293,57,M
2294,50,M
2295,56,r
2298,54,S
2299,55,r
2299,55,S
2301,53,M
2302,62,M
2303,58,M
2304,54,r
2306,59,S
2307,57,S
2308,51,r
2308,50,S
2310,54,M
2311,56,M
2315,50,S
2316,57,S
2317,64,r
2317,51,S
2320,57,S
2321,66,S
2324,54,S
2325,61,S
2326,55,r
2326,55,S
2328,51,S
2329,61,S
2330,56,r
2330,54,S
2332,54,M
2333,58,M
2334,53,r
2337,62,S
2338,63,S
2341,55,S
2341,57,M
2342,52,S
2343,52,r
2343,52,S
2345,54,M
2346,51,S
2347,64,S
2350,59,S
2350,57,M
2351,53,S
2352,52,r
2352,59,S
2355,59,S
2356,61,r
2356,56,S
2359,60,S
2360,47,S
2364,52,S
2365,61,r
2365,58,S
2368,61,S
2369,56,r
2369,62,S
2372,58,M
2373,60,M
2374,58,r
2377,60,S
2378,62,r
2378,49,S
2380,57,M
2381,50,M
2382,52,M
2385,54,S
2386,62,S
2389,51,M
2390,54,M
2391,60,r
2394,63,S
2395,53,S
2399,55,S
2400,58,r
2400,53,S
2402,53,M
2403,56,M
2404,55,M
2407,51,S
2408,51,S
2411,48,M
2412,52,M
2413,57,r
2416,55,S
2418,58,M
2420,55,M
2421,60,M
2422,58,r
2425,57,S
2426,54,r
2426,61,S
2429,54,S
2430,58,S
2433,53,S
2434,56,S
2435,52,r
2435,51,S
2437,53,M
2438,53,M
2439,52,M
2442,53,S
2443,62,S
2444,53,r
2444,54,S
2446,48,M
2447,57,M
2448,56,M
2452,57,S
2453,56,r
2453,52,S
2456,57,S
2457,55,r
2457,45,S
2459,54,M
2460,57,M
2461,56,M
2462,58,r
2465,52,S
2466,59,r
2466,54,S
2468,54,M
2469,57,M
2470,53,M
2471,52,r
2474,59,S
2475,54,r
2475,49,S
2477,57,M
2478,52,M
2479,57,M
2480,60,r
2483,51,S
2484,59,r
2484,52,S
2486,55,M
2487,54,M
2488,53,r
2491,54,S
2492,49,S
2495,51,M
2496,51,M
2497,58,r
2500,56,S
2501,52,S
2504,58,S
2504,54,M
2505,54,S
2506,54,r
2506,53,S
2508,52,M
2509,51,M
2510,51,M
2513,57,S
2514,52,S
2515,54,r
2515,55,S
2517,53,M
2518,51,M
2519,51,M
2523,53,S
2524,56,r
2524,51,S
2526,59,M
2527,54,M
2528,54,M
2531,55,S
2532,54,S
2535,57,M
2536,52,M
2537,49,r
2540,55,S
2541,54,S
2544,55,S
2545,57,S
2546,58,r
2546,52,S
2548,53,M
2549,55,S
2550,56,S
2552,55,M
2553,53,S
2554,55,S
2557,53,S
2558,56,S
2559,51,r
2559,51,S
2561,61,M
2562,58,M
2563,53,M
2566,61,S
2567,54,S
2568,58,r
2568,53,S
2570,52,M
2571,52,S
2572,53,r
2572,52,S
2575,58,S
2576,52,S
2579,54,M
2580,57,S
2581,53,r
2581,62,S
2584,57,S
2585,51,S
2586,54,r
2586,53,S
2588,55,M
2589,52,M
2593,50,S
2594,52,S
2597,57,S
2598,52,r
2598,57,S
2601,53,M
2602,56,M
2603,53,r
2606,56,S
2607,51,r
2607,54,S
2610,53,M
2611,55,M
2612,65,r
2615,54,S
2616,52,r
2616,53,S
2618,55,M
2619,59,M
2620,58,M
2621,53,r
2624,54,S
2625,52,r
2625,55,S
2627,65,M
2628,58,M
2629,54,r
2632,54,S
2633,52,S
2636,52,M
2637,55,S
2638,51,r
2638,52,S
2641,56,S
2642,53,S
2645,50,S
2646,56,S
2647,53,r
2650,52,S
2651,53,r
2651,49,S
2653,56,M
2654,55,M
2658,52,S
2659,66,S
2661,56,M
2662,53,M
2663,58,M
2664,53,r
2666,55,S
2667,56,S
2668,53,r
2668,52,S
2670,51,M
2671,53,M
2672,49,M
2675,53,S
2676,58,S
2677,58,r
2677,56,S
2679,54,M
2680,51,M
2681,54,M
2684,52,S
2685,53,S
2689,54,S
2690,53,r
2690,56,S
2692,55,M
2693,63,M
2694,54,r
2697,60,S
2698,56,S
2701,54,S
2701,51,M
2702,57,S
2703,54,r
2703,53,S
2705,50,M
2706,51,M
2707,54,M
2708,54,r
2711,53,S
2712,52,r
2712,52,S
2715,58,S
2716,55,S
2717,51,r
2717,56,S
2719,57,M
2720,58,M
2721,50,M
2722,59,r
2725,58,S
2726,52,r
2726,51,S
2729,52,M
2730,53,M
2731,53,r
2734,57,S
2735,56,r
2735,53,S
2737,53,M
2738,55,M
2739,56,r
2742,55,S
2743,54,r
2743,51,S
2746,56,S
2747,55,S
2750,57,M
2751,57,M
2752,58,r
2755,55,S
2756,51,r
2756,52,S
2759,52,M
2760,56,M
2761,51,r
2764,53,S
2765,62,r
2765,53,S
2767,53,M
2768,61,M
2769,59,r
2772,57,S
2773,52,S
2776,59,M
2777,53,M
2778,51,r
2781,55,S
2782,59,S
2785,52,M
2788,52,M
2791,58,S
2792,51,S
